id,name,sport,fms,fms_category,grade_range,space_needed,equipment,slot_기술동작,slot_기술동작_응답,slot_이동동작,slot_공격동작,slot_수비동작,slot_벌칙동작,teaching_cues,common_errors,quick_fixes,challenge_rules,closure_game_rules,description
soccer_inside_pass,인사이드 패스,축구,차기|받기,조작,5학년|6학년,운동장|체육관,축구공,인사이드 패스로 연결,되돌려 받기 후 다시 패스,패스 후 빈 공간 이동,3회 연속 패스 후 전진,패스 길목 차단,스쿼트 3회,지지발 공 옆|발 안쪽 면으로 밀기,발끝 푸시|패스 후 정지,지지발 옆|패스 후 이동,30초 8회 성공|60초 15회 성공,패스 3회 연결 후 득점 인정,6학년 축구 포커스 기술
soccer_trapping,볼 멈추기,축구,볼 멈추기|받기,조작,5학년|6학년,운동장|체육관,축구공,발 안쪽으로 감속 트래핑,트래핑 후 다음 패스 연결,공과 몸 사이 간격 유지,첫 터치로 전진 방향 열기,상대 압박 전진 차단,버피 2회,공을 몸 앞 1보에 멈춤|몸 열고 받기,공이 발밑에 붙음|정면 고정,첫 터치 거리 1보|받은 뒤 시선 들기,20회 트래핑 연속 성공,트래핑 후 2터치 안에 패스 규칙,첫 터치 질 개선용 기술
soccer_dribble,공 몰기,축구,공 몰기|달리기,조작,5학년|6학년,운동장|체육관,축구공|콘,짧은 터치 드리블,좌우 터치 후 방향 전환,고개 들고 공간 확인,수비 앞에서 속도 변화,라인 차단으로 유도 수비,제자리 점프 5회,발등과 발안쪽 번갈아 터치,터치 간격 과대|시선 고정,2보마다 시선 올리기|터치 간격 축소,20m 왕복 3회 완주,드리블 후 패스 연결 시 득점 인정,패스 전 공간 창출 기술
dodge_touch_pass,공 터치 패스,공 터치 피구,던지기|받기,조작,3학년|4학년|5학년|6학년,교실|체육관,폼볼,가슴 높이 패스,패스 후 빠른 리턴,패스 후 빈 공간 이동,공 소유자 협공 터치,패스 길목 예측 차단,점핑잭 5회,볼 없이 먼저 이동|가슴 방향 패스,강한 직선 패스|수신자 미확인,패스 전 이름 호출|한 박자 먼저 이동,10회 연속 패스 성공,패스 2회 후 터치 시 추가점,안전 피구 핵심 기술
dodge_evasion,피하기 이동,공 터치 피구,달리기|방향 전환,이동,3학년|4학년|5학년|6학년,교실|체육관,원마커,상대 시선 반대로 출발,태그 직전 급정지 후 회피,지그재그 이동,수비 사각으로 침투,거리 유지로 협력 수비,마커 터치 3회,짧은 발빠름|시선 전환,직선 도주|감속 실패,출발 각도 바꾸기|회피 후 재가속,20초 회피 성공,회피 후 패스 연결 시 생존 인정,추격형 게임 이동 기술
cup_flip_control,컵 플립,컵 스태킹 놀이,치기|손 조작,조작,3학년|4학년|5학년|6학년,교실,스태킹컵,손목 스냅으로 컵 뒤집기,성공 즉시 다음 컵 연결,제자리 중심 유지,연속 성공으로 미션 달성,상대 리듬 방해 없는 대기,스쿼트 2회,손목 스냅 작게|컵 높이 일정,팔 전체로 던짐|힘 과다,손목만 사용|컵 높이 낮추기,30초 6회 성공,성공 후 팀 점수 누적,실내 조작 협응 기술
cup_stacking_speed,스피드 스태킹,컵 스태킹 놀이,치기|받기|협응,조작,3학년|4학년|5학년|6학년,교실,스태킹컵,3-6-3 패턴 쌓기,패턴 종료 후 해체 복귀,양손 교차 협응,팀 릴레이로 속도 경쟁,실수 후 즉시 복구,제자리 점프 3회,패턴 순서 말하며 수행|양손 균형,순서 혼동|한손 의존,구호로 순서 고정|속도보다 정확도,1분 내 3회 완성,정확도 우선 점수제,순서 기억과 협응 강화
cup_volley_receive,컵 배구 받기,컵 배구,받기|치기,조작,3학년|4학년|5학년|6학년,교실|체육관,스태킹컵|풍선공,컵으로 공 받기,컵 면 조절 후 넘기기,받고 바로 자리 교대,3터치 내 네트 반환,상대 빈 공간 수비,무릎 굽혀 버티기 5초,컵 면을 공 아래에 두기|손목 고정,컵으로 강타|방향 통제 실패,컵 각도 15도 유지|높이 먼저 확보,랠리 10회 성공,3회 연결 후 득점 인정,네트형 기본 협응
hand_jokgu_under_toss,언더토스 서브,손족구,던지기|협응,조작,4학년|5학년|6학년,체육관|운동장,폼볼|네트,언더토스로 네트 넘기기,리시브 후 세터에게 연결,서브 후 코트 복귀,빈 공간으로 첫 공 투입,서브 코스 예측 방어,라인 왕복 1회,손바닥 아래에서 위로 밀기|높이 확보,서브 강약 불균형|네트 미통과,무릎 반동 추가|팔로우스루 길게,서브 8회 중 6회 성공,서브 성공 후 랠리 시작 인정,손족구 시작 기술
hand_jokgu_all_touch,올터치 연결,손족구,받기|던지기|협응,조작,4학년|5학년|6학년,체육관|운동장,폼볼|네트|팀조끼,4명이 1회씩 터치,마지막 터치로 네트 넘기기,터치 후 즉시 로테이션,전원 참여 후 공격 성공,공 없는 위치로 커버 수비,점핑잭 4회,터치 순서 사전 합의|짧은 구호,한 명 독점|연결 끊김,첫 터치 높이 확보|세컨드 터치 안정,연속 3랠리 성공,올터치 충족 시 2점 인정,협동 네트형 확장 기술
